montecarlo,3649e4e5fcb1f2,"RSJAIL (34,500) 44.0","NoName (28,800) 9.0","MrTako (22,500) -17.0","振り込みマシン2 (14,200) -36.0"
montecarlo,3649ee2728e94c,"torakich (31,700) 42.0","三九二 (29,500) 10.0","NoName (24,400) -16.0","gorohana (14,400) -36.0"
montecarlo,3649f1d117ccd8,"そらのたから (45,200) 55.0","NoName (31,000) 11.0","maru0726 (12,100) -28.0","けん象 (11,700) -38.0"
montecarlo,3649f3239b1c7c,"ghostljh (38,000) 48.0","やんまぁ (32,900) 13.0","NoName (25,000) -15.0","dukerin (4,100) -46.0"
montecarlo,3649f570e2979a,"あゆみん33 (46,700) 56.0","NoName (24,600) 5.0","dukerin (18,000) -22.0","operour (10,700) -39.0"
montecarlo,3649f6ec464384,"hirobuu (42,300) 52.0","taisa929 (32,700) 13.0","バーサス (26,900) -13.0","NoName (-1,900) -52.0"
montecarlo,364a01d5c158c0,"NoName (30,000) 40.0","リザヴィー (27,000) 7.0","hiro333 (23,000) -17.0","GGGGG (20,000) -30.0"
shantenMCS,364a03212df57c,"あんよう (40,600) 51.0","NoName (22,600) 3.0","zri (22,400) -18.0","奇妙奇天烈 (14,400) -36.0"
montecarlo,364a02a717d854,"雀ママ (42,800) 53.0","NoName (33,400) 13.0","isaoban (25,000) -15.0","わかしまづ (-1,200) -51.0"
shantenMCS,364a032431d57e,"ame0810 (43,700) 53.0","徳さん72 (22,900) 3.0","しゅう8 (18,700) -21.0","NoName (14,700) -35.0"
montecarlo,364a0261053ff2,"おぽぽすー (34,100) 44.0","NoName (24,800) 5.0","カブラヤ (23,400) -17.0","ミラクルバード (17,700) -32.0"
montecarlo,364a01e8fc8ed2,"NoName (46,200) 57.0","hisa1123 (33,000) 13.0","ohtoshi (20,400) -20.0",ゲラ＝ハ (400) -50.0
shantenMCS,364a0314de3446,"kkaguy (30,100) 41.0","九州男児隼人 (28,300) 8.0","NoName (23,200) -17.0","mirumi (18,400) -32.0"
montecarlo,364a0360d9c842,"KoKKO (44,600) 54.0","NoName (26,600) 7.0","yoboyobo (17,000) -23.0","enbu (11,800) -38.0"
shantenMCS,364a033795a38c,"makotovf (51,200) 62.0","NoName (22,400) 2.0","史封気 (20,300) -20.0","ほし☆いも (6,100) -44.0"
montecarlo,364a02b34ead78,"ユイチ555 (42,900) 52.0","ltype030 (19,600)","NoName (19,500) -20.0","tingsan (18,000) -32.0"
montecarlo,364a02a35af4ee,"西斗副鼻腔炎 (35,200) 46.0","かしかし (29,300) 9.0","NoName (20,200) -20.0","Anchor (15,300) -35.0"
shantenMCS,364a033498af32,"東なつ (47,000) 56.0","DJ_Tec (23,000) 3.0","ふぁー (15,500) -24.0","NoName (14,500) -35.0"
montecarlo,364a0568f49d1e,"akki3131 (36,600) 46.0","mirumi (30,300) 10.0","ピアノの森 (19,500) -20.0","NoName (13,600) -36.0"
shantenMCS,364a0493b0eec0,"momocham (37,300) 47.0","MonStAR (25,000) 5.0","NoName (24,900) -15.0","カエル丸 (12,800) -37.0"
montecarlo,364a04ce6404d0,"長澤茉里奈(ま) (48,100) 58.0","WangZi (41,000) 21.0","NoName (20,800) -19.0","カブラヤ (-9,900) -60.0"
