shantenBlind,36491a8ab13946,1,1,0
shantenBlind,36491a8ab13946,1,0,0
shantenBlind,36491a8ab13946,1,0,0
shantenBlind,36491a8ab13946,1,0,0
shantenBlind,36491a8ab13946,1,0,0
shantenBlind,36491a8ab13946,1,0,1
shantenBlind,364920f1689df4,1,1,0,0
shantenBlind,364920f040688a,1,0,0,0
shantenBlind,364920f040688a,1,1,0,0
shantenBlind,364920f1689df4,1,0,1,0
shantenBlind,364920f040688a,1,0,1,0
shantenBlind,364920f1689df4,1,0,0,0
shantenBlind,364920f040688a,1,0,1,0
shantenBlind,364920f1689df4,1,0,0,0
shantenBlind,364922dff42398,1,0,0,0
shantenBlind,364922dff42398,1,0,0,0
shantenBlind,364922dff42398,1,0,0,0
shantenBlind,364922dff42398,1,1,0,0
shantenBlind,364922dff42398,1,0,0,0
shantenBlind,364922dff42398,1,1,0,0
shantenBlind,364925e6289ea8,1,0,0,0
